Creating header
Reading header
Read from /home/vsand/OpenSpace/enlilTestData_256_256_256_32.vdf complete!
Data dimensionality: 1
Number of timesteps: 32
Dimensions: 256 x 256 x 256
Brick dimensions: 32 x 32 x 32
Number of bricks: 8 x 8 x 8
Structure: 0
Data size (bytes): 4
Out file name: /home/vsand/OpenSpace/tsp_test.tsp
Number of bricks in base octree level: 512
Number of levels in octree: 4
Number of bricks in octree: 585
Constructing octree for timestep 0
234 writing val 0 0 0
235 writing val 0 0 0
236 writing val 0 0 0
237 writing val 0 0 0
238 writing val 0 0 0
239 writing val 0 0 0
240 writing val 0.000904819 0.000998575 0
241 writing val 0 0 0
242 writing val 0 0 0
243 writing val 0 0 0
244 writing val 0.00140659 0.00116419 0
245 writing val 0 0 0
246 writing val 0 0 0
247 writing val 0 0 0
248 writing val 0 0 0
249 writing val 0 0 0
250 writing val 0 0 0
251 writing val 0 0 0
252 writing val 0 0 0
253 writing val 0 0 0
254 writing val 0 0 0
255 writing val 0 0 0
256 writing val 0 0 0
257 writing val 0 0 0
258 writing val 0 0 0.00821603
259 writing val 0 0 0.00326521
260 writing val 0 0 0
261 writing val 0 0 0
262 writing val 0 0 0.0129097
263 writing val 0 0 0.00369162
264 writing val 0 0 0
265 writing val 0 0 0
266 writing val 0 0 0.00214285
267 writing val 0 0 0.00104936
268 writing val 0 0 0
269 writing val 0 0 0
270 writing val 0 0 0.00141952
271 writing val 0 0 0.000989414
272 writing val 0.232262 0.0417679 0.0112178
273 writing val 0.00866454 0.0060752 0.006147
274 writing val 0.26399 0.0513776 0.0197459
275 writing val 0.0181377 0.0130669 0.00448251
276 writing val 0.317717 0.0788514 0.0116981
277 writing val 0.0133231 0.00763702 0.00262623
278 writing val 0.476354 0.0741976 0.0107318
279 writing val 0.0096677 0.00551893 0.00369708
280 writing val 0.00502487 0.00438822 0.00125386
281 writing val 0.00178718 0.00128045 0.000530975
282 writing val 0.00412536 0.00256411 0.00116484
283 writing val 0.00110226 0.000823365 0.000763713
284 writing val 0.00305656 0.00238097 0.00480084
285 writing val 0.0025933 0.00281209 0.00281105
286 writing val 0.0029396 0.0039798 0.0037919
287 writing val 0.00446605 0.00384705 0.00136612
288 writing val 0 0 0
289 writing val 0 0 0
290 writing val 0 0 0.0106832
291 writing val 0 0 0.00341602
292 writing val 0 0 0
293 writing val 0 0 0
294 writing val 0 0 0.0207448
295 writing val 0 0 0.00592994
296 writing val 0 0 0
297 writing val 0 0 0
298 writing val 0 0 0.00609071
299 writing val 0 0 0.00096126
300 writing val 0 0 0
301 writing val 0 0 0
302 writing val 0 0 0.00195294
303 writing val 0 0 0.00156053
304 writing val 0.297976 0.0552542 0.0194314
305 writing val 0.0147231 0.0106418 0.0112245
306 writing val 0.296589 0.0677683 0.0294601
307 writing val 0.0247891 0.0150352 0.00576105
308 writing val 0.50468 0.0926929 0.0258387
309 writing val 0.0298761 0.0173079 0.00625529
310 writing val 0.604389 0.129947 0.0203002
311 writing val 0.0203118 0.0124923 0.00579086
312 writing val 0.00768738 0.00889348 0.00279052
313 writing val 0.00336745 0.00223773 0.00102561
314 writing val 0.0081104 0.00467367 0.00260386
315 writing val 0.00262295 0.00217434 0.00171821
316 writing val 0.00513024 0.00262639 0.00134821
317 writing val 0.00138567 0.00131894 0.00182734
318 writing val 0.00599521 0.00430037 0.00183774
319 writing val 0.00168781 0.00140112 0.00250492
320 writing val 0 0 0
321 writing val 0 0 0
322 writing val 0 0 0
323 writing val 0 0 0
324 writing val 0 0 0
325 writing val 0 0 0
326 writing val 0 0 0
327 writing val 0 0 0
328 writing val 0 0 0
329 writing val 0 0 0
330 writing val 0 0 0
331 writing val 0 0 0
332 writing val 0 0 0
333 writing val 0 0 0
334 writing val 0 0 0
335 writing val 0 0 0
336 writing val 0.000719782 0.000603642 0
337 writing val 0 0 0
338 writing val 0.000560016 0.000784407 0
339 writing val 0 0 0
340 writing val 0.00460327 0.00304837 0
341 writing val 0 0 0
342 writing val 0.0014505 0.00119996 0
343 writing val 0 0 0
344 writing val 0 0 0
345 writing val 0 0 0
346 writing val 0 0 0
347 writing val 0 0 0
348 writing val 0 0 0
349 writing val 0 0 0
350 writing val 0 0 0
351 writing val 0 0 0
352 writing val 0 0 0
353 writing val 0 0 0
354 writing val 0 0 0
355 writing val 0 0 0
356 writing val 0 0 0
357 writing val 0 0 0
358 writing val 0 0 0
359 writing val 0 0 0
360 writing val 0 0 0
361 writing val 0 0 0
362 writing val 0 0 0
363 writing val 0 0 0
364 writing val 0 0 0
365 writing val 0 0 0
366 writing val 0 0 0
367 writing val 0 0 0
368 writing val 0.000703626 0.000550147 0
369 writing val 0 0 0
370 writing val 0.00151952 0.00100748 0
371 writing val 0 0 0
372 writing val 0.00275188 0.00240473 0
373 writing val 0 0 0
374 writing val 0.00186589 0.00336854 0
375 writing val 0 0 0
376 writing val 0 0 0
377 writing val 0 0 0
378 writing val 0 0 0
379 writing val 0 0 0
380 writing val 0 0 0
381 writing val 0 0 0
382 writing val 0 0 0
383 writing val 0 0 0
384 writing val 0.374883 0.0711291 0.00989835
385 writing val 0.0121795 0.00968334 0.00550278
386 writing val 0.455369 0.0684882 0.014453
387 writing val 0.0100603 0.00718215 0.00321244
388 writing val 0.459112 0.0805928 0.00976393
389 writing val 0.009771 0.00624134 0.00931767
390 writing val 0.281381 0.0512132 0.0120638
391 writing val 0.0110728 0.00847011 0.00871152
392 writing val 0.00550249 0.0027434 0.0010234
393 writing val 0.00102667 0.000867624 0.00798789
394 writing val 0.00353354 0.00217725 0.00160288
395 writing val 0.00134138 0.00142294 0.00472706
396 writing val 0.00541709 0.010474 0.0017173
397 writing val 0.00190479 0.00133196 0.000787377
398 writing val 0.0103475 0.00965201 0.00168583
399 writing val 0.00160837 0.00114656 0.000786357
400 writing val 0.212613 0.0542374 0.00989491
401 writing val 0.0164632 0.0106692 0.00479343
402 writing val 0 0 0
403 writing val 0 0 0
404 writing val 0.511261 0.0876148 0.0134202
405 writing val 0.0159563 0.0110458 0.00322908
406 writing val 0 0 0
407 writing val 0 0 0
408 writing val 0.00492003 0.00377499 0.00190529
409 writing val 0.00236034 0.00245596 0.000874461
410 writing val 0 0 0
411 writing val 0 0 0
412 writing val 0.00497309 0.00285176 0.00101665
413 writing val 0.00140466 0.00118655 0.000621907
414 writing val 0 0 0
415 writing val 0 0 0
416 writing val 0.3354 0.082036 0.0296947
417 writing val 0.0304104 0.0132172 0.00374514
418 writing val 0.423468 0.103639 0.0185276
419 writing val 0.0218157 0.00956993 0.00350632
420 writing val 0.5536 0.0868448 0.0145975
421 writing val 0.0182263 0.0120197 0.00698242
422 writing val 0.453516 0.0673095 0.0144074
423 writing val 0.0129858 0.0107517 0.00294444
424 writing val 0.00417779 0.00331721 0.00188603
425 writing val 0.00285389 0.00223314 0.00210719
426 writing val 0.00323929 0.00239909 0.00206374
427 writing val 0.00174283 0.00260374 0.000642893
428 writing val 0.00545436 0.00395775 0.00139517
429 writing val 0.0014203 0.00114301 0.000684935
430 writing val 0.00540433 0.00311132 0.00133307
431 writing val 0.00151687 0.00105026 0.000565943
432 writing val 0.585516 0.0787759 0.00816668
433 writing val 0.0116298 0.00715974 0.0024414
434 writing val 0 0 0
435 writing val 0 0 0
436 writing val 0.347302 0.0544331 0.00762358
437 writing val 0.00885713 0.00504417 0.0022205
438 writing val 0 0 0
439 writing val 0 0 0
440 writing val 0.00324785 0.00235498 0.00107614
441 writing val 0.00124003 0.000947069 0.000590456
442 writing val 0 0 0
443 writing val 0 0 0
444 writing val 0.00213058 0.00163517 0.00105851
445 writing val 0.00104732 0.00087261 0.000613965
446 writing val 0 0 0
447 writing val 0 0 0
448 writing val 0.00249333 0.00678422 0
449 writing val 0 0 0
450 writing val 0.00704202 0.00122805 0
451 writing val 0 0 0
452 writing val 0.000977979 0.00101561 0
453 writing val 0 0 0
454 writing val 0.000695912 0.0005921 0
455 writing val 0 0 0
456 writing val 0 0 0
457 writing val 0 0 0
458 writing val 0 0 0
459 writing val 0 0 0
460 writing val 0 0 0
461 writing val 0 0 0
462 writing val 0 0 0
463 writing val 0 0 0
464 writing val 0.00117892 0.000673601 0
465 writing val 0 0 0
466 writing val 0 0 0
467 writing val 0 0 0
468 writing val 0.000859193 0.000717307 0
469 writing val 0 0 0
470 writing val 0 0 0
471 writing val 0 0 0
472 writing val 0 0 0
473 writing val 0 0 0
474 writing val 0 0 0
475 writing val 0 0 0
476 writing val 0 0 0
477 writing val 0 0 0
478 writing val 0 0 0
479 writing val 0 0 0
480 writing val 0.00148882 0.00110992 0
481 writing val 0 0 0
482 writing val 0.00112939 0.000763296 0
483 writing val 0 0 0
484 writing val 0.0021026 0.003582 0
485 writing val 0 0 0
486 writing val 0.000552897 0.00047221 0
487 writing val 0 0 0
488 writing val 0 0 0
489 writing val 0 0 0
490 writing val 0 0 0
491 writing val 0 0 0
492 writing val 0 0 0
493 writing val 0 0 0
494 writing val 0 0 0
495 writing val 0 0 0
496 writing val 0.000520498 0.000438617 0
497 writing val 0 0 0
498 writing val 0 0 0
499 writing val 0 0 0
500 writing val 0.000590383 0.000511482 0
501 writing val 0 0 0
502 writing val 0 0 0
503 writing val 0 0 0
504 writing val 0 0 0
505 writing val 0 0 0
506 writing val 0 0 0
507 writing val 0 0 0
508 writing val 0 0 0
509 writing val 0 0 0
510 writing val 0 0 0
511 writing val 0 0 0
512 writing val 0 0 0.00441815
513 writing val 0 0 0
514 writing val 0 0 0
515 writing val 0 0 0
516 writing val 0 0 0
517 writing val 0 0 0
518 writing val 0 0 0
519 writing val 0 0 0
520 writing val 0 0 0
521 writing val 0 0 0
522 writing val 0 0 0
523 writing val 0 0 0
524 writing val 0 0 0
525 writing val 0 0 0
526 writing val 0 0 0
527 writing val 0 0 0
528 writing val 0 0 0
529 writing val 0 0 0
530 writing val 0 0 0
531 writing val 0 0 0
532 writing val 0 0 0
533 writing val 0 0 0
534 writing val 0 0 0
535 writing val 0 0 0
536 writing val 0 0 0
537 writing val 0 0 0
538 writing val 0 0 0
539 writing val 0 0 0
540 writing val 0 0 0
541 writing val 0 0 0
542 writing val 0 0 0
543 writing val 0 0 0
544 writing val 0 0 0
545 writing val 0 0 0
546 writing val 0 0 0
547 writing val 0 0 0
548 writing val 0 0 0
549 writing val 0 0 0
550 writing val 0 0 0
551 writing val 0 0 0
552 writing val 0 0 0
553 writing val 0 0 0
554 writing val 0 0 0
555 writing val 0 0 0
556 writing val 0 0 0
557 writing val 0 0 0
558 writing val 0 0 0
559 writing val 0 0 0
560 writing val 0 0 0
561 writing val 0 0 0
562 writing val 0 0 0
563 writing val 0 0 0
564 writing val 0 0 0
565 writing val 0 0 0
566 writing val 0 0 0
567 writing val 0 0 0
568 writing val 0 0 0
569 writing val 0 0 0
570 writing val 0 0 0
571 writing val 0 0 0
572 writing val 0 0 0
573 writing val 0 0 0
574 writing val 0 0 0
575 writing val 0 0 0
576 writing val 0 0 0
577 writing val 0 0 0
578 writing val 0 0 0
579 writing val 0 0 0
580 writing val 0 0 0
581 writing val 0 0 0
582 writing val 0 0 0
583 writing val 0 0 0
584 writing val 0 0 0
Constructing octree for timestep 1
0 writing val 0 0 0
1 writing val 0 0 0
2 writing val 0 0 0.0167382
3 writing val 0 0 0.00543575
4 writing val 0 0 0
5 writing val 0 0 0
6 writing val 0 0 0.0113739
7 writing val 0 0 0.00263354
8 writing val 0 0 0
9 writing val 0 0 0
10 writing val 0 0 0.0012385
11 writing val 0 0 0.000561913
12 writing val 0 0 0
13 writing val 0 0 0
14 writing val 0 0 0.0015775
15 writing val 0 0 0.000590612
16 writing val 0.697375 0.117796 0.013961
17 writing val 0.0128976 0.00803793 0.00534625
18 writing val 0.562743 0.103428 0.017546
19 writing val 0.0156874 0.00904798 0.00607178
20 writing val 0.401329 0.0977484 0.0253654
21 writing val 0.0211748 0.012183 0.0036534
22 writing val 0.417987 0.0838217 0.0249536
23 writing val 0.024067 0.0164809 0.00877738
24 writing val 0.00679112 0.00580695 0.00519028
25 writing val 0.00287898 0.00127282 0.000599191
26 writing val 0.00521027 0.00543715 0.00479745
27 writing val 0.00477869 0.0032315 0.00103547
28 writing val 0.00313196 0.00222125 0.00108125
29 writing val 0.00113739 0.000865261 0.000578588
30 writing val 0.00555654 0.00271654 0.00148334
31 writing val 0.00114242 0.000882418 0.000579644
32 writing val 0 0 0
33 writing val 0 0 0
34 writing val 0 0 0.0103758
35 writing val 0 0 0.00240299
36 writing val 0 0 0
37 writing val 0 0 0
38 writing val 0 0 0.00859181
39 writing val 0 0 0.00264597
40 writing val 0 0 0
41 writing val 0 0 0
42 writing val 0 0 0.00116058
43 writing val 0 0 0.000749256
44 writing val 0 0 0
45 writing val 0 0 0
46 writing val 0 0 0.00111186
47 writing val 0 0 0.000688059
48 writing val 0.44864 0.0660398 0.0105919
49 writing val 0.00921023 0.00542361 0.0024909
50 writing val 0.63563 0.116153 0.0186158
51 writing val 0.0119137 0.00647672 0.00291606
52 writing val 0.238485 0.0423439 0.00798808
53 writing val 0.00816491 0.00530766 0.00287202
54 writing val 0.266222 0.0431038 0.00840546
55 writing val 0.00738683 0.00470616 0.00296601
56 writing val 0.00246068 0.0018501 0.00100836
57 writing val 0.00111925 0.000940063 0.000660516
58 writing val 0.00239365 0.00168969 0.000924922
59 writing val 0.000930544 0.000764856 0.000574243
60 writing val 0.00264557 0.00202427 0.00141479
61 writing val 0.00118109 0.000990058 0.00300849
62 writing val 0.00275499 0.00258587 0.00387645
63 writing val 0.00284019 0.00406149 0.00112868
64 writing val 0 0 0
65 writing val 0 0 0
66 writing val 0 0 0
67 writing val 0 0 0
68 writing val 0 0 0
69 writing val 0 0 0
70 writing val 0 0 0
71 writing val 0 0 0
72 writing val 0 0 0
73 writing val 0 0 0
74 writing val 0 0 0
75 writing val 0 0 0
76 writing val 0 0 0
77 writing val 0 0 0
78 writing val 0 0 0
79 writing val 0 0 0
80 writing val 0.000614358 0.000520989 0
81 writing val 0 0 0
82 writing val 0.000728018 0.000502474 0
83 writing val 0 0 0
84 writing val 0.000580757 0.000511661 0
85 writing val 0 0 0
86 writing val 0.000533359 0.000437042 0
87 writing val 0 0 0
88 writing val 0 0 0
89 writing val 0 0 0
90 writing val 0 0 0
91 writing val 0 0 0
92 writing val 0 0 0
93 writing val 0 0 0
94 writing val 0 0 0
95 writing val 0 0 0
96 writing val 0 0 0
97 writing val 0 0 0
98 writing val 0 0 0
99 writing val 0 0 0
100 writing val 0 0 0
101 writing val 0 0 0
102 writing val 0 0 0
103 writing val 0 0 0
104 writing val 0 0 0
105 writing val 0 0 0
106 writing val 0 0 0
107 writing val 0 0 0
108 writing val 0 0 0
109 writing val 0 0 0
110 writing val 0 0 0
111 writing val 0 0 0
112 writing val 0.000726959 0.000660145 0
113 writing val 0 0 0
114 writing val 0.000562662 0.00053872 0
115 writing val 0 0 0
116 writing val 0.00105178 0.00154112 0
117 writing val 0 0 0
118 writing val 0.0010375 0.000675246 0
119 writing val 0 0 0
120 writing val 0 0 0
